time,azimuth,elevation,range
0.0,56.309932474020215,70.17297134659182,1063.014581273465
1.0033444816053512,55.865114577732456,70.089985223226,1064.1046801815344
2.0066889632107023,55.41526962751191,70.0108356555729,1065.1722091293952
3.0100334448160533,54.96067246271497,69.935551385442,1066.21657034397
4.013377926421405,54.501590477000235,69.86415913438515,1067.2371918657873
5.016722408026756,54.038284071273885,69.79668367855088,1068.2335280124014
6.020066889632107,53.57100709111002,69.73314791899722,1069.2050598162934
7.023411371237458,53.100007249440274,69.67357294760593,1070.151295437338
8.02675585284281,52.62552653531776,69.61797810873222,1071.0717705499205
9.03010033444816,52.1478016095653,69.56638105671405,1071.9660487047995
10.033444816053512,51.66706418811906,69.51879780935829,1072.8337216658015
11.036789297658864,51.18354141387587,69.47524279751173,1073.6744097214444
12.040133779264213,50.69745621784684,69.43572891081817,1074.487761971581
13.043478260869565,50.20902767041321,69.40026753975535,1075.2734565891515
14.046822742474916,49.718471323471086,69.36886861403828,1076.0312010571342
15.050167224080267,49.22599954424289,69.34154063746959,1076.7607323807765
16.05351170568562,48.73182184152268,69.31829071931037,1077.4618172751866
17.05685618729097,48.23614518511322,69.29912460224004,1078.1342523283597
18.06020066889632,47.73917431920239,69.28404668696635,1078.7778641397085
19.06354515050167,47.241112070417536,69.27306005354322,1079.392509434157
20.066889632107024,46.742159651287636,69.26616647944671,1079.9780751518556
21.070234113712374,46.24251695983538,69.26336645445531,1080.534478513565
22.073578595317727,45.74238287601445,69.26465919237552,1081.0616670617526
23.076923076923077,45.24195555570182,69.27004263964882,1081.5596186774285
24.080267558528426,44.74143272295,69.27951348087075,1082.0283415727572
25.08361204013378,44.24101196120142,69.29306714124917,1082.4678742594556
26.08695652173913,43.740891004164695,69.31069778602301,1082.8782854929943
27.090301003344482,43.241268027052115,69.33239831685945,1083.2596741926034
28.093645484949832,42.74234193887847,69.35816036524128,1083.6121693370842
29.096989966555185,42.24431267652307,69.38797428285345,1083.9359298364168
30.100334448160535,41.74738150126047,69.42182912897192,1084.2311443791482
31.103678929765888,41.2517512984693,69.45971265485436,1084.4980312555433
32.10702341137124,40.75762688123535,69.50161128512612,1084.7368381564738
33.11036789297659,40.26521529857074,69.54751009615215,1084.9478419480179
34.11371237458194,39.77472614897961,69.59739279137943,1085.1313484217349
35.11705685618729,39.286371900109074,69.65124167362913,1085.2876920205902
36.12040133779264,38.800368215233526,69.70903761431455,1085.417235540484
37.123745819397996,38.316934287330206,69.77076001955366,1085.5203698073592
38.12709030100334,37.83629318151385,69.8363867931405,1085.597513329848
39.130434782608695,37.358672186608345,69.90589429633455,1085.6491119274265
40.13377926421405,36.88430317664253,69.97925730441999,1085.6756383340503
41.137123745819395,36.41342298306607,70.05644895998226,1085.6775917772447
42.14046822742475,35.9462737784885,70.13744072284129,1085.6554975326349
43.1438127090301,35.48310347274981,70.22220231657582,1085.6099064539014
44.147157190635454,35.02416612213355,70.31070167156405,1085.5413944781671
45.1505016722408,34.56972235253249,70.40290486446065,1085.4505621068206
46.15384615384615,34.12003979737154,70.4987760540209,1085.3380338618022
47.15719063545151,33.67539355108188,70.59827741317523,1085.204457717389
48.16053511705685,33.23606663890184,70.70136905724861,1085.0505045075372
49.163879598662206,32.80235050375423,70.80800896821083,1084.876867308847
50.16722408026756,32.37454551091293,70.9181529148338,1084.6842607992526
51.17056856187291,31.952961471122304,71.03175436862249,1084.473420592545
52.17391304347826,31.53791818276922,71.14876441537713,1084.245102548871
53.17725752508361,31.1297459936257,71.26913166223183,1084.0000820613768
54.180602006688964,30.72878638257748,71.39280214000686,1083.739153319186
55.18394648829432,30.335392561626126,71.51971920069917,1083.463128546942
56.187290969899664,29.94993009829567,71.64982340992626,1083.1728372211721
57.19063545150502,29.57277755838322,71.7830524341269,1082.869125263768
58.19397993311037,29.204327168762056,71.91934092231402,1082.5528542129102
59.197324414715716,28.844985499666908,72.0586203821621,1082.2249003718123
60.20066889632107,28.49517416555859,72.20081905020665,1081.88615393569
61.20401337792642,28.155330543268867,72.34586175592246,1081.5375180974154
62.207357859531776,27.825908505656667,72.49366977944398,1081.1799081323538
63.21070234113712,27.507379168452907,72.64416070268615,1080.8142504629302
64.21404682274247,27.20023164731934,72.79724825362477,1080.4414817035242
65.21739130434783,26.904973821383837,72.95284214349796,1080.062547686339
66.22073578595318,26.62213309862298,73.11084789669958,1079.6784024689446
67.22408026755853,26.3522571774264,73.27116667314827,1079.2900073242506
68.22742474916387,26.09591479747463,73.4336950829394,1078.8983297137129
69.23076923076923,25.853696471672915,73.59832499311591,1078.5043422446465
70.23411371237458,25.62621518928311,73.76494332643789,1078.10902161256
71.23745819397993,25.414107078559685,73.9334318520841,1077.7133475294972
72.24080267558529,25.218032015096963,74.10366696829156,1077.3183016394255
73.24414715719064,25.038674159705415,74.27551947702847,1076.924866421764
74.24749163879599,24.87674240692735,74.44885435090829,1076.5340240842172
75.25083612040133,24.732970722248446,74.62353049269431,1076.1467554461265
76.25418060200668,24.608118342636974,74.79940048791197,1075.764038813613
77.25752508361204,24.502969811224766,74.97631035129574,1075.386848847852
78.26086956521739,24.41833481271788,75.15409926804458,1075.0161554278618
79.26421404682274,24.35504777148488,75.33259933115879,1074.6529225092586
80.2675585284281,24.313967169223424,75.511635276482,1074.298106980474
81.27090301003345,24.295974533677928,75.69102421748788,1073.9526575179887
82.27424749163879,24.301973044122125,75.87057538233367,1073.6175134421853
83.27759197324414,24.332885693313372,76.05008985626591,1073.2936035754656
84.2809364548495,24.389652939493093,76.22936033310589,1072.9818451043293
